ARTICULO;REGISTRO SANITARIO;CUM;ATC
ABAC001;2015M-0015860;20085320-1;J05AR02
ABCI001;N/A;n/a;N/A
ACET002;2018M-0002317-R2;19935303-4;N02BE01
ACET003;2008M-0007696;19973358-2;S01EC01
ACET004;2013M-0002447-R1;19936296-12;N02BA01
ACET005; 2018M-0001556-R2;19929516-3;N02BE01
ACET006;2015M-0002925-R1;19940454-1;V03AB23
ACET007;2021M-0020136;20189002-01;A01AD05
ACET011;2018M-0009075-R1;19997397-4;G03AC06
ACET016;2017M-0013764-R1;20046741-4;N02AA59
ACIC001;2007M-007289-R1;209835-6;J05AB01
ACIC002;2016M-0003840-R1;19945134-1;J05AB01
ACIC003;2020M-0015858-R1;20076027-1;D06BB03
ACIC004;2020M-001477-R3;51715-1;J05AB01
ACID002;2016M-0011889-R1;20021392-1;D06AX01
ACID049;2008 M-009720-R2;29634-4;A05AA02
ACID053;2008M-0007873;19980647-1;M05BA04
ACTI004;2020M-010394-R3;33103-2;B01AD02
ADEN001;2018M-0014345-R1;20058380-1;C01EB10
ADRE001;2018M-0012930-R1;20036851-3;C01CA24
ADRE003;2017M-0011919-R1;20027402-2;R03AA01
AGUA001;2020M-010787-R2;00034421-04;V07ABX1
AGUA002;2016M-0005159-R1;19954947-10;V07AB99
AGUA003;2020M-0019643;20132666-1;D08AX01
AGUA005;2021M-0013573-R1;20041806-2;V07ABX1
ALBE002;2017M-012390-R3;37619-2;P02CA03
ALBU001;2019M-0007240-R1;19968918-1;B05AA01
ALEN002;2018M-0006823-R1;19972261-3;M05BA04
ALFA001;2015 M-005601-R3;45047-6;C02AB01
ALIM003;RSiA03I16214;n/a;N/A
ALOP001;2018M-14320-R3;42938-4;M04AA01
ALPR001;2018M-007668-R3;13874-02;N05BA12
ALPR002;2008 M-011168 R1;000227600-01;N05BA12
ALPR003;2021M-0016379-R1;20093133-11;C01EA01
ALUM002;2021M-007508-R2;215882-01;A02AB01
AMAN001;2017M-0001900-R2;019931778-13;N04BB01
AMIK002;2018M-014905-R2;19908236-07;J01GB06
AMIN001;2008M-0008923;19994652-03;R03DA05
AMIN003;2019M-0001843-R2;19931123-04;B05BA01
AMIO001;2015 M-007030-R3;52271-1;C01BD01
AMIO002;2012M-0013364;20043928-01;C01BD01
AMIT001;2020M-002794-R3;17144-9;N06AA09
Amlo001;2018M-0013598-R1 ;20048021-1;C09DX01
AMOX001;2021M-0005139-R2;19957924-5;J01CA04
AMPI001;2018M-0018572;20125217-02;J01CR01
AMPI002;2020M-011529-R2;220025-24;J01CA01
AMPI003;2020M-0003788-R2;19942486-01;J01CA01
ANDR001;2019M-006115-R4;48902-2;G03HA01
ANFO001;2021M-0016396-R1;20081868-1;J02AA01
APIX002;2019M-0014147-R1;20056956-01;B01AF02
ASCO001;2015-M-006894-R3;54932-3;A11GA01
ASCO002;2018M-0014605-R1;20062021-01;A11GA01
ASEP007;2015M-0003464-R1;19945396-07;D08AC02
ATOR001;2016M-0011630-R1;20020184-15;C10AA05
ATRO001;2020M-0001745-R2;19930287-01;A03BA01
AZAT001;2019M-0019116;20141515-1;L04AX01
AZIT001;2016M-014991-R2;19908252-2;J01FA10
AZIT002;2016M-002521-R2;11701-01;J01FA10
AZTR001;2018M-0007586-R1;019982144-02;J01DF01
BACL001;2016 M-006650-R3;49176-2;M03BX01
BECL001;2021M-0002366-R2;19935124-2;R01AD01
BECL005;2021M-0010923-R1;20012688-01;R01AD01
BERI001;2009 M-013198 - R1;19900234-03;B02BD07
BETA002;2013M-0014399;20054465-01;C01AA08
BETA003;2018M-0018409;20143309-01;C01AA08
BETA004;2008M-0008861;019997996-01;C01AA08
BETA005;2009M-0009471;19998124-5;N07CA01
BETA008;INVIMA 2009M-0009231;INACTIVA;N/A
BICA001;2009 M-012231-R1;229986-03;L02BB03
BIPE003;2009 M-012650-R1;019900906-12;N04AA02
BISA001;2016M-0004952-R1;19953922-2;A06AB02
BISO001;2021M-0016545-R1;020096371-07;C07AB07
BROM001;2012M-012699-R2;43910-03;N04BC01
BROM003;2020M-0008294-R1;19991309-1;R03BB04
BUDE001;2015M-0016088;20079146-01;R03BA02
BUPI001;2015 M-002032-R2;000038995-04;N01BB51
BUPI002;2013M-0002217-R1;19931883-3;N01BB01
BUPI003;2015 M-015114-R2;52041-01;N01BB01
BUPI007;2018M-012592-R3;39007-02;N01BB51
CALC001;2019M-0009732-R1;20006387-4;A02AC01
CALC003;2018M-0008773-R1;19997831-1;A12AA20
CALC004;2018M-0002275-R2;019934690-01;A11CC04
Caol001;2016M-0005875-R1;019966681-01;A07BC52 
CAPT001;2014M-015268-R2;000054972-03;C09AA01
CAPT002;2017M-0005965-R1;19956814-1;C09AA01
CARB001;2015M-014867-R2;44969-09;N03AF01
CARB002;N/A;N/A;N/A
CARB004;2021M-011404-R2;56106-1;N03AF01 
CARB005; 2019M-012068-R2;227365-06;N03AF01
CARB006;2019M-0010260-R1;20005911-2;N05AN01
CARB007;2016M-002873-R2;30969-6;A12AA04
CARB009;2016M-0005282-R1;19956673-10;S01XA20
CARB010;2018M-0018016;20112483-1;S01XA20
CARV001;2016M-0016781;20099612-12;C07AG02
CARV003;2016M-0017066;20086950-6;C07AG02
CASP002;2019M-0001002-R2;19926495-1;J02AX04
CEFA001;INVIMA 2021M-0001707-R2;19929856-13;J01DB01
CEFA003;2020M-006186-R2;53704-7;J01DB04
CEFA004;N/A;n/a;G04CA02
CEFA005;2021M-007484-R2;208131-6;J01DB03
CEFE001;2015M-0005645-R1;19963653-4;J01DE01
CEFT001;2018M-0008081-R1;19985517-2;J01DD54
CEFT004;2018M-0018164;20104180-1;J01DI54
CEFT005;2019M-19450;20157002-1;J01DD52
CEFU001;2020M-013162-R2;19900226-6;J01DC02
CEFU004;2020M-0001955-R2;19932353-1;J01DC02
CICL003;2017M-0017633;20103436-1;L01AA01
CICL004;2019M-014239-R3;51612-1;L04AD01
CICL006; 2017M-0017633;20103436-1;L01AA01
CILO001;2012M-0013914;20052505-04;B01AC23
cipr001;2014M-0014921;20056954-1;S03CA01
CIPR002;2018M-0000338-R2;19914656-1;J01MA02
CIPR005;2016M-0004997-R1;19955847-1;S01AX13
CIPR006;2019M-013358-R2;19900981-1;S03AA07
CISA001;2017M-0012389-R1;20026310-10;M03AC11
CLAR001;2020M-0009673;020002059-05;J01FA09
CLAR002;2020M-0007529-R1;19980816-1;J01FA09
CLEM001;2018M-0018633;20150258-01;R06AA04
CLIN001;2015M-0003196;19943350-24;J01FF01
CLIN002;2020M-0003029-R2;19941276-1;J01FF01
CLOB001;2012M-0013386;20044093-1;N05BA09
CLON001;2013M-0002375-R1;19935777-05;N03AE01
CLON003;2013M-0002259-R1;19934941-05;N03AE01
CLON004;2009M-0009253;19995299-1;C02AC01
CLON005;2013M-0014329;20054403-01;N03AE01
CLOP001;2018M-0014559-R1;20056052-01;B01AC04
CLOR004;2018M-0007951-R1;19973372-03;P01BA01
CLOR016;2009M-13651R1;40377-03;A01AB03
CLOT001;2008M-0008894;19995244-1;G01AF02
CLOT003;2016M-002376-R2;21475-08;G01AF02
CLOZ001;2007M-0007242;19974655-03;N05AH02
CLOZ002;2021M-0007295-R1;19975977-02;N05AH02
COLC001;2020M-0010477-R1;20010760-04;M04AC01
COLE001;2008M-011167-R1;227601-02;C10AC01
COLI004;2015M-0016224;20081775-02;J01XB01
COMP001;2015M-005532-R3;46792-02;A11DB99
COMP002;2010M-002341-R3;34047-6;A11JA01
CROM001;2009M-0010100;19998840-01;S01GX01
